feature,coefficient
Location_Abids,17670613.72697356
Location_Boiguda,16253753.70273901
Location_Sangeet Nagar,-14115501.29560153
Location_Sun City,12077479.772564193
Location_Janachaitanya Colony,11121862.59543746
Location_Film Nagar,10883164.561939374
Location_Saket,10565854.609207418
Location_Banjara Hills,8907213.02030388
Location_Jubilee Hills,8375793.519913603
Location_Pocharam,-8250181.6663008025
Location_Banjara Hills Road Number 12,8185232.105929923
Area,6986527.7901129685
Location_Paradise Circle,-6425764.446424483
School,-6399336.573965371
Location_Secunderabad Railway Station Road,-6398608.124824381
Location_Sri Nagar Colony,6319011.473641144
Location_Sikh Village,-6212404.997103121
Location_Whitefields,6176726.7786021205
Location_Picket,-5479675.118585817
BED,5317580.610941
Location_Adda Gutta,-5224689.669034306
Location_Gopal Nagar,5171417.617852102
Location_New Maruthi Nagar,-5068244.353618568
Location_Nandagiri Hills,4947530.883218162
Location_Ameerpet,-4909378.27532659
Location_Chikkadapally,4794394.940531828
Location_Masab Tank,4690303.299838288
Hospital,4676522.138948189
Location_Old Bowenpally,-4632893.749159443
Location_Kavuri Hills,-4618250.932115016
Location_Old Alwal,-4521657.775004751
Location_Somajiguda,4373206.547683414
Location_Hitech City,4294459.613798804
Location_Chaitanyapuri,-4170429.7427209676
GolfCourse,-3986423.0660067103
Location_Neredmet,-3974043.4602891584
Location_Gachibowli,3957647.7539461968
Location_Bollaram,-3924061.3376360764
Location_Madhapur,3883684.2392780995
Location_Cherlapalli,-3784527.2075819727
Microwave,-3659480.202867344
WashingMachine,3528329.2196361106
Location_Dullapally,3501121.0346298516
Location_Tolichowki,-3459103.9993632566
Location_Qutub Shahi Tombs,3434808.6414879784
Location_Basheer Bagh,3347139.5124019706
Location_Bagh Amberpet,-3308116.6601920538
Location_Himayat Nagar,-3304967.4159655343
Location_Chandanagar,3242969.945343782
Location_Chintalmet,-3213605.8512976663
Location_Tukkuguda Airport View Point Road,-3164368.438495235
Location_Pati,-3097436.2125302004
DiningTable,-3091906.2035585423
Location_Gajulramaram Kukatpally,2943386.779437594
Location_Amberpet,2925723.2306548143
Location_Whitefield,-2903575.3719452634
Location_Hydershakote,-2876797.735007874
Location_Dilsukh Nagar,2764210.6553254314
Location_Trimalgherry,-2756764.667316958
Location_financial District,-2614384.166322832
Location_Mailardevpally,2595384.1890783203
Location_Gurramguda,2595054.088774728
Location_Ashok Nagar,2530005.8012036346
Sofa,-2529556.978187147
Location_Kowkur,-2452971.064608213
Location_Kollur,-2437366.220499438
Location_Tellapur,-2417417.188323985
Location_Isnapur,-2393442.312426113
Location_Safilguda,-2351719.7365922164
Location_muthangi,-2343442.312426128
Location_chandrayangutta,-2340969.4344922234
Location_Sanath Nagar,2340703.516442505
Location_Bolarum,-2293753.1280002026
Location_Uppalguda,-2216720.1660133107
Location_Kothaguda,-2216410.416475447
Location_Patancheru Shankarpalli Road,-2213808.8621421405
Location_Padmarao Nagar,2207248.914279453
Location_Hitex Road,2198493.810980983
Location_Khizra Enclave,-2180507.8171302825
Location_Attapur,-2179892.1875661286
Location_Dammaiguda,-2153442.8023337945
Location_Kondakal,2138657.7259506793
Location_hyderabad,2092022.3781568145
Location_Kistareddypet,-2085454.7493897318
Location_Ring Road,-2070427.7846127232
Location_ALIND Employees Colony,2068424.9721895624
Location_Whisper Valley,-2065873.7578434665
Location_Karmanghat,-2047747.4588779681
Location_Miyapur Bachupally Road,-2042102.0373150785
Location_Quthbullapur,-2035993.3638553103
Location_Suchitra,-1976483.5328152473
Location_Beeramguda Road,-1939235.389459718
Location_Domalguda,1938414.301005324
Cafeteria,1938022.7672252352
Location_Alapathi Nagar,-1921456.7757101846
Location_KTR Colony,-1907718.2111586793
Location_Patancheru,-1904209.2511143733
MaintenanceStaff,-1881754.4666070943
Location_Matrusri Nagar,1872341.8991481964
Location_Rajendra Nagar,1848170.4612884247
ShoppingMall,1832617.7970871367
Location_Shaikpet,1809219.1238885224
Location_Mallapur,-1808345.115934859
Location_Kollur Road,-1794694.190908291
Location_Bandlaguda Jagir,-1758908.052745289
Location_Puppalaguda,-1757008.5857725956
Location_Hafeezpet,1743153.5060555658
Location_Venkat Nagar Colony,1726924.2708256834
Location_Yapral,-1718373.717379808
Location_ECIL,-1665010.7019408976
Location_Alwal,-1631616.418390317
Location_Kismatpur,1625085.8220997644
Location_Khajaguda Nanakramguda Road,1622779.955984943
Location_Gandipet,-1615489.2448722483
Location_Gopanpally,1602124.2759194896
Location_DD Colony,-1587629.333750088
Location_Uppal Kalan,-1581222.9714825205
Location_Ghansi Bazaar,1563462.4872864045
Location_BK Guda Internal Road,-1557201.9089657932
Location_Adibatla,-1539766.454638349
Location_Sainikpuri,-1514761.5471268825
Location_Bachupally Road,-1508154.6134320404
Gasconnection,1504830.9236742565
Location_KRCR Colony Road,-1488895.151280521
Location_Domalguda Road,1456764.6447205357
Location_Mehdipatnam,-1431949.8460388696
Location_Nagole,-1397497.477882534
Location_west venkatapuram,-1385447.1036083521
Location_JNTU,1359033.2429657148
Location_Allwyn Colony,1348124.8482539216
Location_NRSA Colony,1341193.1915860262
Location_Madhavaram Nagar Colony,1327783.7435142465
Location_manneguda,-1319795.2093713998
Location_Nallakunta,1296704.703443789
AC,1296499.2801074507
Location_Krishna Reddy Pet,-1246939.0573678596
Location_Balanagar,-1244191.422545435
Location_Darga Khaliz Khan,1241675.3660290283
ClubHouse,1208837.4447001298
JoggingTrack,-1206799.4863334377
Location_D D Colony,1206687.8079837968
Location_Kokapeta Village,-1174668.658275807
Location_Mettuguda,-1171593.4143340609
Location_Mallampet,-1163990.4452876472
Location_Vivekananda Nagar Colony,1156598.9419028026
MultipurposeRoom,1151973.0545126298
Location_KPHB,1132625.0075863698
Location_Kompally,-1126045.7713143202
Location_Manikonda,-1123079.3264511817
TV,1106408.8807202543
Location_Beeramguda,-1103833.126840434
Location_Hakimpet,-1090161.657181599
Location_Nizampet,-1067085.8745478513
Location_Tarnaka,-1058728.814082207
Location_Nanakramguda,1056388.6576210936
LandscapedGardens,1021963.6238855089
LiftAvailable,-1015399.3285680511
RainWaterHarvesting,-1003540.8999602095
No. of Bedrooms,-992136.2788162039
Gymnasium,-990799.3246233445
Location_Bachupally,-982781.4664535979
Location_Kukatpally,976127.0712876879
Location_new nallakunta,965197.6320960444
Location_Chinthal Basthi,952719.6749788955
Location_Panchavati Colony Manikonda,-946618.4058268906
Location_Ramnagar Gundu,-942865.3802301739
Location_Aminpur,-893303.4384316134
Location_Nacharam,889393.3196573618
Location_TellapurOsman Nagar Road,-871787.2622650487
Location_Ramachandra Puram,854438.2238210253
Location_Madinaguda,-850257.0245788747
ATM,-848485.0736149894
Location_Appa Junction,820103.2964560082
StaffQuarter,814811.6589961348
Location_Pragati Nagar,-813591.1699095475
Location_BK Guda Road,-807796.5420552986
Children'splayarea,804596.898527751
Location_Paramount Colony Toli Chowki,-779212.0669990206
Location_Mansoorabad,-773359.5295674494
Location_ECIL Cross Road,766516.5472576411
Location_Happy Homes Colony,-759918.5997160015
Location_Boduppal,-754674.9048278239
Location_West Marredpally,-747360.2292726419
Location_Arvind Nagar Colony,740435.3919387385
Location_Hyder Nagar,732316.1376358459
Location_Lakdikapul,-692729.8874699087
Location_Chintalakunta,687989.4447263638
Wifi,687350.3920687819
Location_Moti Nagar,682750.6384610907
Location_Bongloor,-677409.253439103
Location_Vanasthalipuram,670730.4774322468
Location_Pragathi Nagar Road,-659872.4693901979
Location_BHEL,-635634.6598640811
Location_Saroornagar,630109.1951442821
IndoorGames,629346.104008426
CarParking,-628621.9433368144
Location_Kachiguda,-602962.0261635801
VaastuCompliant,592611.7859341776
Location_Old Nallakunta,-579269.4395240308
Location_Santoshnagar,-562215.7366876408
Location_Almasguda,-558715.7360337364
Location_Chititra Medchal,-520410.73121439316
Location_Srisailam Highway,-519231.8115888017
Location_Tilak Nagar,-510546.6634207089
Wardrobe,-507247.7886973079
Location_Hastinapur,-492778.598643224
Location_Central Excise Colony Hyderabad,487727.06243054476
Location_HMT Hills,485518.16325352795
Location_Kondapur,479725.7040387592
Location_Appa Junction Peerancheru,-462505.0070857189
Location_Pragathi Nagar,-460655.64488947875
Location_Barkatpura,455429.29378463933
Location_Aushapur,-453057.40287503507
Location_Moosapet,450262.9357195904
Refrigerator,-433275.4563015024
Location_Chintradripet,-414915.2098948383
Resale,410315.5931895374
24X7Security,408053.8085427927
Location_Pragathi Nagar Kukatpally,-407415.71549167787
Location_Uppal,-401055.3950325684
SportsFacility,-378591.9006542498
Location_Moula Ali,376563.29163493926
Location_Shankarpalli,376403.0232257229
Location_Ambedkar Nagar,-372570.96764798457
Location_Tirumalgiri,-371715.38487648417
Location_ECIL Main Road,-360662.590863046
Location_Mayuri Nagar,356779.4984779102
Intercom,-332606.27405733825
Location_Zamistanpur,-312317.83569712914
Location_Kapra,-311292.3985641685
Location_Malkajgiri,310307.00901317305
Location_Kokapet,-305960.81598248816
Location_Gajularamaram,291549.4702580584
Location_Methodist Colony,-290161.65718159947
Location_nizampet road,-281278.19414182147
Location_raidurgam,-277978.97192328004
Location_Alkapur township,267717.1366370972
Location_Murad Nagar,265665.7210294231
Location_Karimnagar,248967.63906192782
Location_AS Rao Nagar,-236483.04876319983
Location_Toli Chowki,-234315.86402481952
Location_Medchal,-214408.87240097355
Location_LB Nagar,209420.2951879123
Location_Ameenpur,206335.03670976404
Location_Miyapur,196986.528035952
PowerBackup,193242.5292854323
Location_Habsiguda,188928.07355140633
Location_Bachupaly Road Miyapur,188512.41806434793
Location_East Marredpally,157303.0009310136
Location_Kushaiguda,147890.22387689582
Location_Bowenpally,-144981.79760433425
Location_Narsingi,112993.05914770905
Location_Balaji Hills Colony Venkatraya Nagar,77689.97364847476
Location_Nallagandla Gachibowli,-73773.55060763774
Location_Shadnagar,72159.56406879588
SwimmingPool,-69613.61185041629
Location_Lingampalli,-64276.848039329285
Location_Serilingampally,54901.16808597138
Location_Neknampur,-41980.2071220518
Location_Begumpet,-33220.09255782468
Location_Miyapur HMT Swarnapuri Colony,7845.79192376195
